src_id,dst_id
1656,800
1657,801
1658,802
1659,800
1660,801
1661,802
1662,800
1663,801
1664,802
1665,800
1666,801
1667,802
1668,800
1669,801
1670,802
1671,800
1672,801
1673,802
1674,800
1675,801
1676,802
1677,800
1678,801
1679,802
1680,800
1681,801
1682,802
1683,803
1684,804
1685,805
1686,803
1687,804
1688,805
1689,803
1690,804
1691,805
1692,803
1693,804
1694,805
1695,803
1696,804
1697,805
1698,806
1699,806
1700,806
1701,806
1702,806
1703,806
1704,806
1705,806
1706,806
1707,807
1708,808
1709,807
1710,808
1711,807
1712,808
1713,807
1714,808
1715,807
1716,808
1717,807
1718,808
1719,807
1720,808
1721,809
1722,810
1723,809
1724,810
1725,809
1726,810
1727,809
1728,810
1729,809
1730,810
1731,809
1732,810
1733,809
1734,810
1735,809
1736,810
1737,809
1738,810
1739,811
1740,812
1741,813
1742,811
1743,812
1744,813
1745,811
1746,812
1747,813
1748,811
1749,812
1750,813
1751,814
1752,815
1753,816
1754,814
1755,815
1756,816
1757,814
1758,815
1759,816
1760,817
1761,817
1762,817
1763,817
1764,817
1765,817
1766,817
1767,818
1768,819
1769,820
1770,818
1771,819
1772,820
1773,818
1774,819
1775,820
1776,818
1777,819
1778,820
1779,821
1780,821
1781,821
1782,821
1783,821
1784,821
1785,821
1786,821
1787,821
1788,821
1789,822
1790,823
1791,824
1792,822
1793,823
1794,824
1795,822
1796,823
1797,824
1798,822
1799,823
1800,824
1801,825
1802,826
1803,825
1804,826
1805,825
1806,826
1807,825
1808,826
1809,825
1810,826
1811,825
1812,826
1813,825
1814,826
1815,825
1816,826
1817,825
1818,826
1819,825
1820,826
1821,827
1822,828
1823,827
1824,828
1825,827
1826,828
1827,827
1828,828
1829,829
1830,830
1831,831
1832,829
1833,830
1834,831
1835,829
1836,830
1837,831
1838,829
1839,830
1840,831
1841,829
1842,830
1843,831
1844,829
1845,830
1846,831
1847,829
1848,830
1849,831
1850,832
1851,833
1852,832
1853,833
1854,832
1855,833
1856,834
1857,834
1858,834
1859,834
1860,834
1861,835
1862,836
1863,835
1864,836
1865,835
1866,836
1867,835
1868,836
1869,835
1870,836
1871,835
1872,836
1873,835
1874,836
1875,835
1876,836
1877,835
1878,836
1879,837
1880,838
1881,837
1882,838
1883,837
1884,838
1885,837
1886,838
1887,837
1888,838
1889,837
1890,838
1891,837
1892,838
1893,839
1894,840
1895,839
1896,840
1897,839
1898,840
1899,841
1900,842
1901,843
1902,841
1903,842
1904,843
1905,841
1906,842
1907,843
1908,841
1909,842
1910,843
1911,841
1912,842
1913,843
1914,841
1915,842
1916,843
1917,841
1918,842
1919,843
1920,841
1921,842
1922,843
1923,841
1924,842
1925,843
1926,841
1927,842
1928,843
1929,841
1930,842
1931,843
1932,844
1933,845
1934,846
1935,844
1936,845
1937,846
1938,844
1939,845
1940,846
1941,844
1942,845
1943,846
1944,844
1945,845
1946,846
1947,844
1948,845
1949,846
1950,844
1951,845
1952,846
1953,847
1954,847
1955,847
1956,847
1957,847
1958,847
1959,847
1960,848
1961,849
1962,850
1963,848
1964,849
1965,850
1966,848
1967,849
1968,850
1969,848
1970,849
1971,850
1972,851
1973,851
1974,851
1975,851
1976,851
1977,851
1978,851
1979,852
1980,853
1981,852
1982,853
1983,852
1984,853
1985,852
1986,853
1987,852
1988,853
1989,852
1990,853
1991,852
1992,853
1993,86
1996,309
1998,602
2002,56
2003,189
2004,610
2005,718
2007,760
2015,745
2016,147
2017,238
2018,25
2019,757
2021,83
2023,413
2024,334
2030,540
2032,759
2033,607
2038,391
2040,317
2041,137
2043,177
2044,358
2047,563
2052,156
2053,731
2055,578
2061,282
2062,680
2070,705
2071,834
2072,597
2073,361
2075,151
2076,748
2082,449
2083,317
2085,403
2086,451
2088,405
2090,53
2093,454
2095,87
2096,210
2098,676
2100,462
2101,145
2103,436
2104,485
2107,539
2110,342
2114,120
2115,482
2120,129
2121,533
2126,474
2128,340
2129,137
2131,142
2138,761
2139,823
2141,37
2142,786
2149,363
2153,774
2154,68
2163,428
2167,37
2168,602
2170,714
2171,249
2172,556
2174,647
2175,637
2180,15
2182,568
2183,820
2184,432
2188,398
2190,604
2199,3
2202,621
2203,462
2204,213
2207,317
2215,478
2218,313
2230,185
2231,126
2233,288
2234,265
2235,706
2237,144
2238,411
2239,125
2240,785
2241,496
2243,132
2246,240
2249,64
2250,418
2256,734
2257,555
2262,581
2265,718
2268,780
2272,484
2276,750
2277,518
2281,668
2282,289
2283,277
2285,240
2288,543
2289,802
2290,561
2294,10
2295,805
2298,369
2300,645
2301,766
2306,807
2310,59
2312,751
2313,435
2314,457
2315,630
2318,268
2319,686
2320,848
2322,320
2323,270
2324,664
2335,516
2336,581
2338,202
2340,710
2347,661
2348,546
2350,420
2353,728
2355,624
2357,774
2358,28
2361,802
2363,634
2365,697
2368,728
2373,47
2374,150
2376,229
2377,336
2378,437
2379,79
2382,795
2384,1
2385,160
2386,292
2397,736
2400,252
2404,486
2406,736
2407,248
2411,359
2414,133
2417,328
2419,511
2420,81
2421,437
2422,549
2430,477
2431,649
2434,9
2436,593
2437,278
2441,156
2442,821
2443,427
2444,827
2446,71
2447,385
2453,270
2459,79
2464,300
2468,114
2469,691
2472,364
2473,187
2474,327
2476,625
2477,742
2480,535
2482,94
2483,758
2484,515
2485,605
2486,568
2487,536
2489,241
2491,446
2494,5
2498,382
2503,142
2504,503
2509,222
2510,625
2513,490
2514,639
2515,588
2516,703
2517,434
2521,640
2523,558
2525,281
2526,789
2528,224
2530,524
2531,9
2533,302
2534,817
2535,585
2536,351
2537,711
2539,167
2540,271
2541,101
2544,664
2545,107
2549,573
2551,449
2553,788
2556,692
2561,401
2563,445
2565,204
2567,455
2569,783
2571,645
2573,215
2574,35
2575,642
2576,715
2577,54
2578,151
2581,436
2584,806
2585,426
2586,215
2588,155
2589,384
2591,161
2592,253
2593,757
2595,250
2596,174
2598,320
2599,165
2600,156
2603,440
2604,225
2606,232
2607,464
2609,333
2610,569
2611,404
2613,509
2614,336
2615,702
2618,78
2619,620
2620,405
2621,561
2622,672
2626,47
2628,195
2629,17
2630,596
2633,378
2635,611
2636,165
2638,226
2639,445
2642,790
2644,409
2646,786
2654,301
2655,759
2656,725
2657,278
2668,482
2669,595
2671,775
2677,73
2679,427
2680,477
2684,729
2687,789
2689,647
2690,284
2691,465
2692,177
2693,824
2695,524
2703,491
2704,90
2707,494
2708,31
2709,267
2712,179
2715,195
2716,839
2718,238
2721,706
2722,753
2727,419
2728,774
2730,584
2733,69
2735,781
2743,786
2744,520
2746,545
2748,378
2752,239
2753,365
2759,628
2760,417
2762,691
2766,672
2767,670
2769,772
2778,454
2779,773
2780,780
2781,12
2787,784
2788,382
2790,583
2793,191
2795,455
2797,595
2799,119
2801,345
2802,252
2803,792
2805,483
2808,778
2810,557
2811,116
2814,71
2817,715
2819,38
2820,123
2822,358
2825,467
2826,218
2827,506
2829,144
2831,695
2833,650
2838,536
2843,178
2846,4
2847,286
2852,337
2853,653
2856,351
2860,505
2862,82
2864,735
2866,47
2870,410
2871,251
2873,280
2874,232
2875,163
2878,716
2879,173
2880,672
2881,113
2884,120
2885,210
2888,243
2890,531
2897,696
2898,102
2902,687
2903,799
2906,63
2907,538
2908,735
2909,673
2910,265
2911,18
2913,654
2920,673
2922,183
2924,846
2925,684
2926,436
2929,551
2931,198
2933,130
2934,98
2936,161
2937,509
2940,759
2943,613
2947,813
2948,283
2949,301
2950,396
2953,302
2954,248
2955,583
2956,253
2957,119
2967,589
2970,300
2972,389
2973,273
2975,8
2976,789
2980,815
2981,735
2982,530
2983,450
2986,174
2990,693
2991,440
2992,37
2993,385
2995,33
2997,411
3004,72
3006,453
3007,157
3008,821
3009,814
3010,466
3021,690
3022,571
3031,591
3032,669
3034,431
3036,792
3040,308
3042,446
3043,544
3044,177
3045,586
3046,526
3048,171
3052,246
3054,562
3056,138
3060,37
3061,213
3062,747
3063,723
3064,580
3066,260
3067,775
3070,82
3072,530
3073,108
3074,517
3077,551
3080,389
3081,386
3083,639
3084,693
3085,472
3087,366
3089,47
3091,635
3093,199
3097,214
3098,548
3100,418
3101,152
3103,396
3105,638
3107,807
3108,494
3110,150
3111,778
3113,424
3114,142
3117,497
3118,469
3120,148
3125,391
3126,98
3128,50
3129,672
3131,547
3132,176
3134,777
3135,799
3136,112
3140,663
3141,149
3143,627
3144,690
3145,202
3146,397
3147,464
3149,481
3153,812
3154,257
3156,135
3157,633
3164,569
3166,417
3168,615
3169,293
3171,347
3172,164
3173,63
3174,819
3175,670
3177,136
3185,233
3187,524
3190,358
3192,553
3194,276
3195,510
3197,313
3198,307
3200,322
3203,29
3208,630
3209,739
3214,818
3215,334
3217,690
3221,281
3222,325
3224,536
3228,555
3229,239
3230,612
3232,558
3235,499
3237,610
3240,27
3241,232
3244,167
3247,523
3250,541
3251,603
3252,22
3254,369
3255,138
3256,86
3263,579
3264,734
3270,202
3272,374
3273,251
3274,256
3277,526
3279,490
3280,578
3287,784
3289,63
3291,121
3293,536
3297,437
3301,697
3303,379
3304,187
3305,84
3308,729
3309,795
3311,285
3314,313
3315,30
3321,70
3322,543
3329,473
3333,410
3338,183
3339,368
3341,673
3342,547
3343,677
3346,679
3347,672
3348,224
3349,307
3355,798
3359,583
3363,540
3364,528
3365,1
3366,68
3369,370
3371,708
3372,731
3374,643
3375,298
3376,668
3377,630
3378,167
3379,225
3382,269
3384,516
3385,756
3388,457
3389,555
3391,809
3392,744
3393,167
3395,511
3396,288
3398,600
3399,147
3404,474
3407,724
3408,587
3409,603
3410,285
3411,230
3413,616
3418,454
3428,730
3433,135
3434,568
3435,126
3447,533
3449,729
3450,239
3453,44
3455,408
3458,846
3460,135
3461,846
3462,104
3463,769
3465,683
3467,682
3468,118
3470,447
3472,666
3475,464
3477,87
3479,510
3480,129
3482,392
3485,97
3486,496
3487,77
3488,828
3494,343
3495,561
3497,105
3498,679
3499,593
3500,454
3503,797
3507,294
3511,436
3513,681
