src_id,dst_id
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,6
77,6
78,6
79,7
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,7
89,7
90,7
91,7
92,8
93,8
94,8
95,9
96,9
97,9
98,9
99,9
100,9
101,9
102,9
103,9
104,9
105,9
106,9
107,9
108,9
109,9
110,10
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,11
121,11
122,11
123,11
124,11
125,11
126,11
127,11
128,12
129,12
130,12
131,12
132,12
133,13
134,13
135,13
136,13
137,13
138,13
139,13
140,13
141,13
142,13
143,13
144,13
145,13
146,13
147,13
148,14
149,14
150,14
151,14
152,14
153,14
154,14
155,15
156,15
157,15
158,15
159,15
160,15
161,15
162,15
163,16
164,16
165,16
166,17
167,17
168,17
169,17
170,17
171,17
172,17
173,17
174,17
175,17
176,17
177,17
178,17
179,17
180,17
181,18
182,18
183,18
184,18
185,18
186,18
187,18
188,18
189,18
190,18
191,18
192,18
193,18
194,19
195,19
196,19
197,19
198,19
199,19
200,19
201,19
202,19
203,20
204,20
205,20
206,20
207,20
208,20
209,20
210,20
211,20
212,20
213,20
214,20
215,21
216,21
217,21
218,21
219,21
220,21
221,21
222,21
223,21
224,21
225,22
226,22
227,22
228,22
229,22
230,22
231,22
232,23
233,23
234,23
235,23
236,23
237,23
238,23
239,23
240,23
241,23
242,23
243,23
244,23
245,23
246,23
247,23
248,23
249,23
250,24
251,24
252,24
253,24
254,25
255,25
256,25
257,25
258,25
259,25
260,25
261,25
262,25
263,25
264,25
265,25
266,25
267,25
268,25
269,26
270,26
271,26
272,26
273,26
274,26
275,26
276,27
277,27
278,27
279,27
280,27
281,27
282,28
283,28
284,28
285,28
286,28
287,28
288,28
289,28
290,28
291,28
292,28
293,28
294,28
295,28
296,28
297,28
298,28
299,28
300,28
301,28
302,29
303,29
304,29
305,29
306,29
307,29
308,29
309,29
310,29
311,29
312,29
313,29
314,29
315,29
316,29
317,29
329,30
330,31
331,32
332,33
333,34
334,35
335,36
336,37
337,38
345,39
346,40
347,41
348,42
349,43
355,44
356,45
357,46
358,47
359,48
360,49
361,50
362,51
363,52
378,53
379,54
380,55
381,56
382,57
383,58
384,59
392,60
393,61
394,62
395,63
396,64
397,65
398,66
399,67
400,68
420,69
421,70
422,71
423,72
445,73
446,74
447,75
462,76
463,77
464,78
465,79
466,80
467,81
468,82
480,83
481,84
482,85
483,86
503,87
504,88
505,89
506,90
507,91
508,92
509,93
510,94
511,95
512,96
536,97
537,98
538,99
539,100
557,101
558,102
559,103
560,104
561,105
562,106
563,107
564,108
565,109
566,110
579,111
580,112
581,113
582,114
603,115
604,116
605,117
606,118
607,119
608,120
609,121
629,122
630,123
631,124
643,125
644,126
645,127
646,128
647,129
661,130
662,131
663,132
664,133
665,134
666,135
667,136
668,137
669,138
677,139
678,140
679,141
680,142
681,143
682,144
683,145
706,146
707,147
708,148
728,149
729,150
730,151
731,152
732,153
733,154
734,155
735,156
736,157
737,158
738,159
749,160
750,161
751,162
752,163
753,164
754,165
755,166
767,167
768,168
769,169
770,170
771,171
772,172
773,173
779,174
780,175
781,176
782,177
802,178
803,179
804,180
805,181
806,182
807,183
808,184
817,185
818,186
819,187
820,188
821,189
822,190
823,191
824,192
825,193
826,194
827,195
828,196
829,197
830,198
831,199
832,200
833,201
834,202
835,203
836,204
837,205
838,206
839,207
840,208
841,209
842,210
843,211
844,212
845,213
846,214
847,215
848,216
849,217
850,218
851,219
852,220
853,221
854,222
855,223
856,224
857,225
858,226
859,227
860,228
861,229
862,230
863,231
864,232
865,233
866,234
867,235
868,236
869,237
870,238
871,239
872,240
873,241
874,242
875,243
