src_id,dst_id
0,0
0,1
0,2
1,0
1,1
1,2
2,0
2,1
2,2
3,0
3,1
3,2
4,0
4,1
4,2
5,0
5,1
5,2
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,5
37,6
37,7
38,5
38,6
38,7
39,5
39,6
39,7
40,5
40,6
40,7
41,5
41,6
41,7
42,5
42,6
42,7
43,5
43,6
43,7
44,5
44,6
44,7
45,5
45,6
45,7
46,5
46,6
46,7
47,5
47,6
47,7
48,8
48,9
48,10
48,11
49,8
49,9
49,10
49,11
50,8
50,9
50,10
50,11
51,8
51,9
51,10
51,11
52,8
52,9
52,10
52,11
53,8
53,9
53,10
53,11
54,8
54,9
54,10
54,11
55,8
55,9
55,10
55,11
56,8
56,9
56,10
56,11
57,8
57,9
57,10
57,11
58,8
58,9
58,10
58,11
59,8
59,9
59,10
59,11
60,8
60,9
60,10
60,11
61,8
61,9
61,10
61,11
62,8
62,9
62,10
62,11
63,8
63,9
63,10
63,11
64,8
64,9
64,10
64,11
65,8
65,9
65,10
65,11
66,8
66,9
66,10
66,11
67,8
67,9
67,10
67,11
68,12
68,13
68,14
68,15
69,12
69,13
69,14
69,15
70,12
70,13
70,14
70,15
71,12
71,13
71,14
71,15
72,12
72,13
72,14
72,15
73,12
73,13
73,14
73,15
74,12
74,13
74,14
74,15
75,12
75,13
75,14
75,15
76,16
77,16
78,16
79,17
80,17
81,17
82,17
83,17
84,17
85,17
86,17
87,17
88,17
89,17
90,17
91,17
92,18
92,19
93,18
93,19
94,18
94,19
95,20
95,21
96,20
96,21
97,20
97,21
98,20
98,21
99,20
99,21
100,20
100,21
101,20
101,21
102,20
102,21
103,20
103,21
104,20
104,21
105,20
105,21
106,20
106,21
107,20
107,21
108,20
108,21
109,20
109,21
110,22
110,23
110,24
110,25
111,22
111,23
111,24
111,25
112,22
112,23
112,24
112,25
113,22
113,23
113,24
113,25
114,22
114,23
114,24
114,25
115,22
115,23
115,24
115,25
116,22
116,23
116,24
116,25
117,22
117,23
117,24
117,25
118,22
118,23
118,24
118,25
119,22
119,23
119,24
119,25
120,26
120,27
120,28
120,29
121,26
121,27
121,28
121,29
122,26
122,27
122,28
122,29
123,26
123,27
123,28
123,29
124,26
124,27
124,28
124,29
125,26
125,27
125,28
125,29
126,26
126,27
126,28
126,29
127,26
127,27
127,28
127,29
128,30
128,31
129,30
129,31
130,30
130,31
131,30
131,31
132,30
132,31
133,32
133,33
133,34
134,32
134,33
134,34
135,32
135,33
135,34
136,32
136,33
136,34
137,32
137,33
137,34
138,32
138,33
138,34
139,32
139,33
139,34
140,32
140,33
140,34
141,32
141,33
141,34
142,32
142,33
142,34
143,32
143,33
143,34
144,32
144,33
144,34
145,32
145,33
145,34
146,32
146,33
146,34
147,32
147,33
147,34
148,35
148,36
148,37
148,38
149,35
149,36
149,37
149,38
150,35
150,36
150,37
150,38
151,35
151,36
151,37
151,38
152,35
152,36
152,37
152,38
153,35
153,36
153,37
153,38
154,35
154,36
154,37
154,38
155,39
155,40
155,41
156,39
156,40
156,41
157,39
157,40
157,41
158,39
158,40
158,41
159,39
159,40
159,41
160,39
160,40
160,41
161,39
161,40
161,41
162,39
162,40
162,41
163,42
163,43
163,44
164,42
164,43
164,44
165,42
165,43
165,44
166,45
166,46
166,47
166,48
167,45
167,46
167,47
167,48
168,45
168,46
168,47
168,48
169,45
169,46
169,47
169,48
170,45
170,46
170,47
170,48
171,45
171,46
171,47
171,48
172,45
172,46
172,47
172,48
173,45
173,46
173,47
173,48
174,45
174,46
174,47
174,48
175,45
175,46
175,47
175,48
176,45
176,46
176,47
176,48
177,45
177,46
177,47
177,48
178,45
178,46
178,47
178,48
179,45
179,46
179,47
179,48
180,45
180,46
180,47
180,48
181,49
181,50
181,51
181,52
182,49
182,50
182,51
182,52
183,49
183,50
183,51
183,52
184,49
184,50
184,51
184,52
185,49
185,50
185,51
185,52
186,49
186,50
186,51
186,52
187,49
187,50
187,51
187,52
188,49
188,50
188,51
188,52
189,49
189,50
189,51
189,52
190,49
190,50
190,51
190,52
191,49
191,50
191,51
191,52
192,49
192,50
192,51
192,52
193,49
193,50
193,51
193,52
194,53
194,54
