node_id,is_fraud,ring_id,ring_type,booking_value_usd,lead_time_days,duration_nights,is_cancelled,is_refunded,chargeback_flag,booking_channel,passengers,timestamp_unix
0,1,0,1,376.18,6,0,1,1,1,2,3,1645548594
1,1,0,1,293.67,2,0,1,1,1,0,1,1636668576
2,1,0,1,378.51,6,0,0,0,0,0,3,1653816140
3,1,0,1,696.89,7,0,1,1,1,2,3,1745833142
4,1,0,1,914.55,6,0,1,1,1,0,2,1647085195
5,1,0,1,1007.51,7,0,1,1,1,2,2,1723332226
6,1,0,1,812.26,6,0,1,1,1,2,1,1621780312
7,1,0,1,520.54,6,0,1,1,1,2,3,1667754895
8,1,0,1,1095.01,4,0,1,1,1,2,1,1681554984
9,1,0,1,808.97,6,0,1,1,1,2,1,1669466532
10,1,0,1,485.17,2,0,1,1,1,2,3,1669376227
11,1,0,1,500.94,6,0,1,1,1,2,3,1670200773
12,1,0,1,330.82,3,0,1,1,1,2,1,1696670489
13,1,0,1,432.15,3,0,1,1,1,0,2,1622702650
14,1,0,1,331.27,7,0,1,1,1,0,2,1678243978
15,1,0,1,531.24,6,0,1,1,1,2,1,1670238334
16,1,0,1,576.25,4,0,0,0,0,0,3,1682741157
17,1,0,1,878.01,4,0,0,0,0,2,4,1710205436
18,1,0,1,1089.79,5,0,1,1,1,2,4,1727327947
19,1,0,1,493.0,6,0,1,1,1,2,3,1601622420
20,1,0,1,760.65,2,0,1,1,1,2,2,1626372373
21,1,0,1,565.94,1,0,1,1,1,0,1,1703868373
22,1,0,1,554.62,2,0,1,1,1,2,3,1728969958
23,1,0,1,847.46,2,0,1,1,1,0,2,1724496795
24,1,0,1,1064.34,7,0,1,1,1,2,4,1662254759
25,1,0,1,547.49,2,0,1,1,1,2,1,1724128116
26,1,0,1,326.94,4,0,1,1,1,2,2,1613683443
27,1,0,1,313.13,3,0,1,1,1,2,1,1710227237
28,1,0,1,1036.64,3,0,1,1,1,0,1,1730814363
29,1,0,1,1003.74,1,0,1,1,1,2,2,1701875291
30,1,1,1,556.27,3,0,1,1,1,2,2,1722997211
31,1,1,1,837.42,3,0,0,0,0,2,2,1707453094
32,1,1,1,1081.9,7,0,1,1,1,2,4,1713634959
33,1,1,1,783.75,2,0,1,1,1,2,2,1701378925
34,1,1,1,894.58,6,0,0,0,0,2,3,1676358765
35,1,1,1,1052.49,7,0,0,0,0,0,3,1681049892
36,1,1,1,388.41,2,0,0,0,0,2,1,1622502545
37,1,1,1,722.74,6,0,1,1,1,0,2,1635769479
38,1,1,1,976.41,3,0,0,0,0,0,2,1687839178
39,1,1,1,510.48,2,0,1,1,1,0,2,1718261143
40,1,1,1,845.93,4,0,1,1,1,2,3,1694725341
41,1,1,1,352.44,7,0,1,1,1,2,2,1603195348
42,1,1,1,323.67,1,0,1,1,1,0,4,1615098450
43,1,1,1,949.03,3,0,1,1,1,0,4,1702765295
44,1,1,1,347.0,3,0,1,1,1,0,2,1603662322
45,1,1,1,982.86,5,0,1,1,1,2,4,1683307315
46,1,1,1,381.62,5,0,1,1,1,2,3,1642003961
47,1,1,1,419.6,1,0,1,1,1,2,4,1654495883
48,1,1,1,1090.18,2,0,1,1,1,0,3,1715164504
49,1,1,1,665.59,4,0,1,1,1,2,4,1732843992
50,1,1,1,679.31,4,0,1,1,1,2,1,1690157720
51,1,1,1,1097.98,3,0,1,1,1,2,1,1618456486
52,1,1,1,569.65,4,0,1,1,1,2,4,1662349272
53,1,1,1,611.9,2,0,0,0,0,0,4,1729137941
54,1,1,1,1016.76,1,0,1,1,1,0,4,1634556704
55,1,1,1,773.89,6,0,0,0,0,2,4,1607453053
56,1,1,1,970.56,2,0,1,1,1,0,2,1664180974
57,1,1,1,577.84,6,0,1,1,1,2,3,1697009729
58,1,1,1,815.25,3,0,1,1,1,0,1,1729018377
59,1,1,1,371.43,7,0,1,1,1,2,3,1705934782
60,1,1,1,405.78,5,0,1,1,1,2,2,1707070389
61,1,1,1,766.39,6,0,1,1,1,2,1,1749000204
62,1,1,1,1019.6,4,0,1,1,1,0,4,1702568294
63,1,1,1,824.8,3,0,1,1,1,2,2,1674227657
64,1,1,1,553.31,7,0,0,0,0,2,2,1624696222
65,1,1,1,458.0,7,0,0,0,0,0,4,1631380772
66,1,1,1,865.33,2,0,1,1,1,0,1,1727324940
67,1,1,1,495.21,7,0,1,1,1,0,4,1718236802
68,1,1,1,602.37,1,0,1,1,1,0,2,1600561364
69,1,1,1,708.64,2,0,1,1,1,2,1,1612120073
70,1,1,1,556.36,7,0,1,1,1,0,4,1643003905
71,1,1,1,925.23,4,0,1,1,1,2,2,1741138916
72,1,1,1,526.99,5,0,0,0,0,0,4,1746768006
73,1,1,1,830.28,5,0,1,1,1,2,3,1631637331
74,1,1,1,679.35,2,0,1,1,1,2,1,1716005013
75,1,1,1,428.78,3,0,1,1,1,2,2,1652452076
76,1,1,1,963.89,5,0,1,1,1,2,2,1742355864
77,1,1,1,913.08,1,0,0,0,0,0,2,1729735214
78,1,1,1,817.43,3,0,0,0,0,2,3,1733349879
79,1,1,1,829.01,4,0,1,1,1,2,2,1618545267
80,1,1,1,284.31,4,0,0,0,0,0,2,1644465643
81,1,1,1,695.78,6,0,0,0,0,2,2,1742017953
82,1,1,1,1069.12,4,0,0,0,0,2,2,1726248514
83,1,2,1,971.0,6,0,1,1,1,0,4,1669795011
84,1,2,1,1086.41,1,0,1,1,1,2,1,1682615018
85,1,2,1,318.5,6,0,1,1,1,2,1,1749823405
86,1,2,1,428.4,4,0,0,0,0,0,4,1642550329
87,1,2,1,965.89,7,0,1,1,1,2,4,1616794186
88,1,2,1,864.94,1,0,1,1,1,2,3,1723847073
89,1,2,1,618.78,2,0,1,1,1,0,4,1623699647
90,1,2,1,1066.76,4,0,1,1,1,0,2,1644965038
91,1,2,1,668.48,5,0,1,1,1,0,4,1622236326
92,1,2,1,763.92,7,0,1,1,1,2,3,1601779529
93,1,2,1,695.59,2,0,1,1,1,0,4,1697349888
94,1,2,1,281.29,2,0,1,1,1,0,3,1654249419
95,1,2,1,714.65,7,0,1,1,1,2,1,1704891251
96,1,2,1,798.12,5,0,1,1,1,0,1,1715930344
97,1,2,1,792.91,2,0,1,1,1,2,4,1626392153
98,1,2,1,681.32,5,0,1,1,1,0,3,1624983227
99,1,2,1,705.11,5,0,1,1,1,2,1,1680808777
100,1,2,1,1045.26,1,0,1,1,1,2,4,1740695453
101,1,2,1,474.56,7,0,1,1,1,2,1,1609713216
102,1,2,1,923.24,3,0,1,1,1,2,3,1706631539
103,1,2,1,429.0,7,0,1,1,1,0,1,1606710121
104,1,2,1,755.79,1,0,1,1,1,0,2,1690616709
105,1,2,1,1036.95,1,0,1,1,1,0,3,1690511751
106,1,2,1,327.71,6,0,1,1,1,0,2,1637716166
107,1,2,1,476.05,3,0,0,0,0,0,4,1633452180
108,1,2,1,716.34,4,0,1,1,1,2,4,1749306702
109,1,2,1,580.16,6,0,0,0,0,2,4,1652720862
110,1,2,1,457.67,6,0,1,1,1,0,1,1691340950
111,1,2,1,698.84,5,0,1,1,1,0,4,1718857117
112,1,2,1,788.57,1,0,1,1,1,2,4,1724663503
113,1,2,1,537.8,5,0,0,0,0,0,4,1746651199
114,1,2,1,414.29,3,0,1,1,1,0,2,1734188479
115,1,2,1,362.99,5,0,0,0,0,2,2,1644968658
116,1,2,1,866.1,2,0,1,1,1,2,3,1604284967
117,1,2,1,1012.74,2,0,1,1,1,2,4,1629938397
118,1,2,1,949.44,4,0,0,0,0,2,4,1725583018
119,1,2,1,893.36,2,0,1,1,1,2,1,1725004930
120,1,2,1,394.76,6,0,1,1,1,2,4,1733058892
121,1,2,1,1099.22,5,0,0,0,0,0,4,1708493454
122,1,2,1,476.69,4,0,1,1,1,0,2,1656453603
123,1,2,1,633.74,5,0,1,1,1,2,3,1713349493
124,1,2,1,347.92,4,0,1,1,1,2,4,1713493374
125,1,2,1,385.12,2,0,0,0,0,0,4,1606732668
126,1,2,1,898.1,6,0,1,1,1,0,1,1661330817
127,1,2,1,522.59,7,0,0,0,0,0,3,1721728577
128,1,2,1,1006.56,1,0,1,1,1,2,1,1635005267
129,1,2,1,426.56,4,0,1,1,1,0,2,1616245219
130,1,2,1,826.78,2,0,0,0,0,2,3,1638527041
131,1,2,1,704.81,5,0,1,1,1,0,2,1641453085
132,1,2,1,489.35,4,0,1,1,1,2,1,1612355158
133,1,2,1,1063.45,2,0,1,1,1,2,1,1684758639
134,1,2,1,324.28,3,0,1,1,1,2,4,1677629588
135,1,2,1,506.96,3,0,1,1,1,0,2,1718966073
136,1,2,1,783.01,6,0,1,1,1,2,4,1684328399
137,1,2,1,439.65,3,0,1,1,1,2,3,1620508564
138,1,2,1,991.6,4,0,1,1,1,2,3,1705970336
139,1,2,1,593.66,1,0,1,1,1,2,3,1705500785
140,1,2,1,353.34,4,0,1,1,1,2,4,1738432713
141,1,2,1,1025.14,4,0,1,1,1,0,2,1676371972
142,1,2,1,854.25,1,0,1,1,1,2,1,1630722729
143,1,2,1,1070.89,1,0,1,1,1,2,1,1737946486
144,1,2,1,579.57,6,0,1,1,1,2,1,1745566464
145,1,2,1,1091.81,2,0,1,1,1,0,1,1674370992
146,1,2,1,783.99,5,0,1,1,1,2,4,1635705498
147,1,2,1,686.33,3,0,1,1,1,0,3,1658093750
148,1,2,1,779.51,1,0,0,0,0,0,4,1663581160
149,1,2,1,652.81,2,0,1,1,1,2,2,1643221319
150,1,2,1,531.49,1,0,1,1,1,2,2,1707418859
151,1,2,1,600.89,4,0,1,1,1,0,3,1705899035
152,1,2,1,951.51,7,0,0,0,0,2,2,1730409123
153,1,2,1,703.11,1,0,0,0,0,0,1,1612770422
154,1,2,1,706.16,6,0,0,0,0,2,2,1601766758
155,1,2,1,595.23,5,0,0,0,0,2,3,1608083701
156,1,2,1,952.4,4,0,0,0,0,2,3,1705868049
157,1,2,1,866.51,1,0,0,0,0,0,1,1747103392
158,1,2,1,420.84,1,0,0,0,0,2,1,1610560938
159,1,2,1,735.05,2,0,1,1,1,0,4,1661064471
160,1,2,1,552.65,4,0,0,0,0,0,2,1616063459
161,1,2,1,797.5,4,0,0,0,0,0,3,1621154879
162,1,2,1,400.9,2,0,1,1,1,2,1,1643398373
163,1,2,1,979.28,2,0,1,1,1,2,2,1694231988
164,1,2,1,799.35,7,0,1,1,1,2,1,1649107630
165,1,2,1,933.21,3,0,1,1,1,0,1,1701202786
166,1,2,1,337.56,7,0,1,1,1,2,2,1651483990
167,1,2,1,871.52,7,0,1,1,1,2,1,1706412138
168,1,2,1,462.54,6,0,1,1,1,0,3,1676471110
169,1,2,1,690.17,7,0,1,1,1,2,3,1625832776
170,1,2,1,462.79,1,0,1,1,1,2,3,1641216839
171,1,2,1,708.69,4,0,1,1,1,2,3,1697701776
172,1,2,1,383.36,7,0,1,1,1,0,4,1632574839
173,1,2,1,857.28,6,0,0,0,0,0,1,1703639478
174,1,2,1,664.41,5,0,1,1,1,0,2,1658116859
175,1,2,1,695.95,5,0,1,1,1,0,1,1607888651
176,1,2,1,424.44,7,0,0,0,0,0,2,1652960372
177,1,2,1,506.43,1,0,0,0,0,2,1,1630287286
178,1,2,1,1050.65,4,0,1,1,1,0,2,1704025789
179,1,2,1,795.81,6,0,1,1,1,2,2,1714611415
180,1,2,1,445.89,7,0,1,1,1,0,3,1623165107
181,1,2,1,647.95,4,0,1,1,1,2,1,1656474871
182,1,2,1,817.55,3,0,1,1,1,0,2,1737124039
183,1,2,1,676.24,4,0,1,1,1,2,4,1655066888
184,1,2,1,663.57,6,0,1,1,1,2,3,1669437670
185,1,2,1,740.1,5,0,1,1,1,2,2,1703576969
186,1,2,1,681.35,3,0,1,1,1,0,4,1677285352
187,1,2,1,647.58,6,0,0,0,0,2,3,1615262084
188,1,2,1,624.19,7,0,0,0,0,0,2,1623380017
189,1,2,1,996.77,7,0,1,1,1,2,1,1669260195
190,1,2,1,715.73,1,0,1,1,1,2,1,1690793119
191,1,2,1,1038.38,6,0,1,1,1,2,1,1675412926
192,1,2,1,436.75,6,0,1,1,1,0,1,1697383629
193,1,2,1,343.54,4,0,1,1,1,2,4,1681536854
194,1,2,1,626.17,1,0,1,1,1,0,4,1647041381
195,1,2,1,433.89,2,0,1,1,1,2,3,1677470041
196,1,2,1,705.34,3,0,1,1,1,0,4,1610783249
197,1,2,1,587.21,3,0,1,1,1,0,3,1688801204
198,1,2,1,813.43,5,0,1,1,1,0,3,1740239233
199,1,2,1,1058.23,1,0,0,0,0,2,3,1682395118
200,1,2,1,802.85,5,0,1,1,1,0,1,1662673300
201,1,2,1,288.91,7,0,1,1,1,0,1,1734519067
202,1,2,1,1098.19,5,0,0,0,0,0,2,1608744495
203,1,2,1,1078.88,7,0,1,1,1,2,3,1742261451
204,1,2,1,726.52,7,0,1,1,1,2,2,1648735587
205,1,2,1,465.33,1,0,1,1,1,0,2,1651032708
206,1,3,1,985.31,7,0,1,1,1,0,3,1713891356
207,1,3,1,815.89,6,0,1,1,1,2,1,1730246341
208,1,3,1,280.1,7,0,1,1,1,2,2,1735693669
209,1,3,1,1033.63,1,0,1,1,1,0,2,1746584986
210,1,3,1,883.61,3,0,1,1,1,0,1,1660943422
211,1,3,1,318.2,5,0,1,1,1,2,3,1648810133
212,1,3,1,283.65,7,0,1,1,1,0,1,1621675335
213,1,3,1,1049.68,2,0,1,1,1,0,2,1699912740
214,1,3,1,289.3,2,0,0,0,0,2,3,1624482648
215,1,3,1,587.84,2,0,1,1,1,2,3,1646333332
216,1,3,1,727.46,3,0,1,1,1,2,2,1666967723
217,1,3,1,346.86,5,0,1,1,1,2,2,1612315671
218,1,3,1,694.63,4,0,1,1,1,2,4,1738709464
219,1,3,1,776.83,4,0,1,1,1,0,2,1674621975
220,1,3,1,1050.91,5,0,1,1,1,0,2,1607023610
221,1,3,1,1091.82,7,0,1,1,1,2,2,1707207020
222,1,3,1,484.49,6,0,1,1,1,2,3,1706431946
223,1,3,1,508.44,1,0,0,0,0,0,2,1636705106
224,1,3,1,805.04,4,0,0,0,0,2,2,1717447431
225,1,3,1,892.77,3,0,1,1,1,2,4,1663352824
226,1,3,1,885.02,5,0,1,1,1,2,1,1737883902
227,1,3,1,899.04,2,0,1,1,1,2,2,1623434493
228,1,3,1,840.7,7,0,0,0,0,0,1,1713143463
229,1,3,1,910.34,7,0,1,1,1,2,2,1740954826
230,1,3,1,504.44,5,0,1,1,1,0,1,1710532585
231,1,3,1,1061.22,3,0,1,1,1,2,1,1614598846
232,1,3,1,925.34,5,0,1,1,1,2,1,1673459830
233,1,3,1,545.5,4,0,1,1,1,0,2,1662294619
234,1,3,1,546.31,7,0,1,1,1,0,4,1664070546
235,1,3,1,1057.59,3,0,0,0,0,2,1,1688458140
236,1,3,1,855.3,1,0,1,1,1,2,1,1633325129
237,1,3,1,621.63,3,0,0,0,0,0,4,1677033360
238,1,3,1,777.71,7,0,1,1,1,0,2,1661882804
239,1,3,1,471.2,4,0,0,0,0,2,3,1732782689
240,1,3,1,397.11,1,0,1,1,1,2,1,1711697585
241,1,3,1,805.43,3,0,1,1,1,0,4,1686275552
242,1,3,1,719.57,4,0,1,1,1,2,3,1700508649
243,1,3,1,473.69,3,0,1,1,1,0,4,1651774332
244,1,3,1,469.43,2,0,1,1,1,2,2,1676983419
245,1,3,1,707.82,2,0,1,1,1,2,2,1659737746
246,1,3,1,358.0,2,0,1,1,1,0,4,1745969396
247,1,3,1,994.19,1,0,1,1,1,2,2,1665410879
248,1,3,1,361.49,5,0,0,0,0,0,3,1729045060
249,1,3,1,537.41,6,0,0,0,0,2,2,1651553324
250,1,3,1,561.36,6,0,0,0,0,0,2,1736721985
251,1,3,1,401.45,1,0,1,1,1,2,1,1719689697
252,1,3,1,592.84,2,0,1,1,1,2,2,1722601428
253,1,3,1,390.57,4,0,1,1,1,0,3,1635590378
254,1,3,1,664.6,6,0,1,1,1,0,1,1651394118
255,1,3,1,908.95,4,0,1,1,1,2,1,1695932151
256,1,3,1,771.58,5,0,1,1,1,2,2,1728703459
257,1,3,1,500.96,2,0,0,0,0,0,3,1628938671
258,1,3,1,817.22,4,0,0,0,0,0,3,1622011636
259,1,3,1,1041.21,5,0,1,1,1,2,3,1724692741
260,1,3,1,823.67,4,0,1,1,1,0,1,1731128426
261,1,3,1,1061.5,6,0,1,1,1,0,4,1738059996
262,1,3,1,507.5,5,0,1,1,1,2,1,1678708553
263,1,4,1,1001.49,6,0,1,1,1,0,1,1624064647
264,1,4,1,497.51,5,0,0,0,0,2,2,1622856854
265,1,4,1,376.73,2,0,0,0,0,0,4,1716241067
266,1,4,1,935.88,3,0,1,1,1,0,3,1697549041
267,1,4,1,843.75,3,0,1,1,1,0,2,1729990615
268,1,4,1,544.33,7,0,0,0,0,0,4,1733920096
269,1,4,1,958.27,4,0,1,1,1,0,1,1617864614
270,1,4,1,501.56,5,0,1,1,1,2,1,1718553588
271,1,4,1,855.56,2,0,1,1,1,0,2,1646746813
272,1,4,1,517.65,7,0,1,1,1,0,4,1630852991
273,1,4,1,967.39,7,0,1,1,1,2,2,1744777230
274,1,4,1,427.02,2,0,0,0,0,2,1,1666204471
275,1,4,1,329.66,7,0,1,1,1,2,1,1677077188
276,1,4,1,668.39,5,0,1,1,1,2,3,1614504355
277,1,4,1,544.9,4,0,1,1,1,0,4,1638763974
278,1,4,1,778.4,1,0,1,1,1,2,4,1685836009
279,1,4,1,1031.36,1,0,1,1,1,0,1,1639657930
280,1,4,1,973.08,3,0,0,0,0,0,4,1692062993
281,1,4,1,680.85,6,0,0,0,0,2,4,1687537991
