node_id,is_fraud,ring_id,ring_type,origin_airport,dest_airport,airline_code,departure_unix,seat_class,base_price_usd,remaining_seats
0,0,-1,0,102,116,4,1693301523,1,124.52,154
1,0,-1,0,111,120,7,1721747727,0,215.61,141
2,0,-1,0,108,110,8,1728156745,2,417.28,115
3,0,-1,0,105,109,5,1738788984,2,322.16,11
4,0,-1,0,104,116,3,1656792000,2,266.62,174
5,0,-1,0,104,115,4,1699779154,0,409.69,7
6,0,-1,0,115,118,8,1691085035,0,449.43,58
7,0,-1,0,104,116,2,1718647821,0,457.28,85
8,0,-1,0,109,118,7,1712976430,0,236.81,126
9,0,-1,0,109,117,4,1739808762,1,369.37,51
10,0,-1,0,116,104,1,1729684258,1,159.4,141
11,0,-1,0,106,116,4,1700560625,0,697.48,102
12,0,-1,0,109,114,4,1735508000,1,358.3,101
13,0,-1,0,112,111,5,1729491261,0,262.13,54
14,0,-1,0,105,119,4,1749266561,0,208.57,153
15,0,-1,0,117,106,3,1693431680,0,357.55,119
16,0,-1,0,114,119,4,1691795874,0,275.47,146
17,0,-1,0,103,102,6,1719677079,0,332.37,83
18,0,-1,0,104,118,6,1699562587,0,267.29,80
19,0,-1,0,113,120,3,1745969258,0,200.61,15
20,0,-1,0,119,107,6,1695741748,3,276.41,47
21,0,-1,0,105,115,4,1723691959,0,278.8,49
22,0,-1,0,103,110,2,1722161639,0,245.41,55
23,0,-1,0,118,109,7,1699276239,0,333.93,129
24,0,-1,0,112,103,6,1712874528,0,368.71,15
25,0,-1,0,110,104,3,1716059904,0,182.29,26
26,0,-1,0,104,116,8,1748968369,0,453.76,104
27,0,-1,0,101,106,8,1691815491,1,502.23,86
28,0,-1,0,106,110,4,1694116807,0,113.75,168
29,0,-1,0,116,106,3,1704500448,0,307.85,93
30,0,-1,0,117,107,8,1704282709,0,142.97,25
31,0,-1,0,114,113,3,1674387325,1,352.53,118
32,0,-1,0,107,103,8,1747515531,0,229.84,41
33,0,-1,0,108,111,7,1696003393,0,526.26,145
34,0,-1,0,113,106,5,1740553218,2,412.83,46
35,0,-1,0,101,111,4,1746937330,2,727.45,178
36,0,-1,0,118,117,8,1661598090,0,368.59,93
37,0,-1,0,114,107,3,1738629591,1,361.99,17
38,0,-1,0,101,119,2,1662275793,2,301.94,134
39,0,-1,0,104,108,6,1737456204,0,211.16,179
40,0,-1,0,115,107,4,1700074118,0,391.03,31
41,0,-1,0,106,105,1,1717765867,0,322.35,166
42,0,-1,0,114,116,4,1669977565,2,522.15,15
43,0,-1,0,117,115,4,1662375380,2,259.28,175
44,0,-1,0,103,106,5,1716286421,3,305.74,172
45,0,-1,0,110,118,5,1705519804,0,192.06,130
46,0,-1,0,115,103,1,1746623191,0,215.59,132
47,0,-1,0,109,116,6,1728476344,0,603.61,51
48,0,-1,0,116,106,4,1673264074,0,194.18,167
49,0,-1,0,117,116,3,1691257156,0,579.36,20
50,0,-1,0,113,120,3,1695389688,0,173.52,179
51,0,-1,0,115,117,8,1660527807,0,274.75,64
52,0,-1,0,103,104,3,1681033467,0,487.2,107
53,0,-1,0,120,104,5,1665361339,0,293.22,127
54,0,-1,0,104,102,7,1655338193,0,548.05,144
55,0,-1,0,117,108,8,1700452623,2,230.26,96
56,0,-1,0,110,101,8,1673674487,0,725.37,170
57,0,-1,0,106,108,1,1687361413,0,189.39,16
58,0,-1,0,103,116,4,1742484186,0,525.17,144
59,0,-1,0,118,105,3,1707936455,0,285.41,140
60,0,-1,0,115,103,5,1682308342,2,91.53,92
61,0,-1,0,115,108,6,1674979870,0,137.23,47
62,0,-1,0,104,109,2,1683823690,0,280.27,66
63,0,-1,0,108,109,6,1673544616,2,442.01,53
64,0,-1,0,117,110,3,1696049705,2,411.37,96
65,0,-1,0,104,117,5,1726628352,0,541.74,113
66,0,-1,0,101,105,6,1700330489,0,593.25,154
67,0,-1,0,113,102,6,1658449321,2,319.43,172
68,0,-1,0,119,104,4,1709368200,1,232.88,167
69,0,-1,0,102,118,6,1709007589,0,386.06,23
70,0,-1,0,111,101,4,1696598515,0,342.41,165
71,0,-1,0,111,116,2,1709959344,2,443.84,141
72,0,-1,0,115,103,4,1715786328,0,248.27,37
73,0,-1,0,115,113,6,1739836654,1,378.1,143
74,0,-1,0,111,107,3,1665761164,0,544.52,99
75,0,-1,0,115,109,2,1722968570,0,218.96,64
76,0,-1,0,113,115,2,1687635947,3,506.94,152
77,0,-1,0,109,119,3,1735053367,0,121.3,86
78,0,-1,0,112,101,5,1651230268,0,148.25,77
79,0,-1,0,120,106,3,1694231412,0,429.27,132
80,0,-1,0,111,115,4,1749703465,2,260.89,140
81,0,-1,0,101,116,6,1749910473,1,353.94,112
82,0,-1,0,102,114,7,1652899950,0,301.93,153
83,0,-1,0,117,115,1,1741063822,1,289.19,0
84,0,-1,0,104,101,7,1710592517,2,157.42,51
85,0,-1,0,105,117,6,1730096385,2,364.63,152
86,0,-1,0,114,117,4,1654015129,0,649.88,98
87,0,-1,0,112,102,4,1665521299,1,211.86,2
88,0,-1,0,106,102,5,1748020478,0,401.98,12
89,0,-1,0,101,112,2,1738414571,1,525.39,66
90,0,-1,0,116,102,4,1748002717,0,409.09,45
91,0,-1,0,113,118,4,1664513025,2,278.27,75
92,0,-1,0,111,120,3,1714923315,2,400.09,83
93,0,-1,0,114,110,8,1697416872,0,341.96,170
94,0,-1,0,102,106,5,1692790321,0,326.06,174
95,0,-1,0,104,108,7,1671762852,0,188.92,165
96,0,-1,0,106,101,4,1697413267,0,204.17,63
97,0,-1,0,111,112,5,1714794848,1,450.15,44
98,0,-1,0,115,107,2,1693141819,0,1210.56,173
99,0,-1,0,110,117,5,1738640288,2,321.05,132
100,0,-1,0,110,106,2,1681445069,2,460.72,156
101,0,-1,0,117,116,1,1678061143,0,283.06,131
102,0,-1,0,106,102,8,1651468284,2,156.41,74
103,0,-1,0,115,108,2,1710084040,0,75.02,90
104,0,-1,0,119,102,4,1727210489,0,416.77,25
105,0,-1,0,116,114,8,1714088863,0,490.49,136
106,0,-1,0,120,110,6,1666590686,2,745.81,172
107,0,-1,0,111,105,7,1749032166,0,666.41,151
108,0,-1,0,107,108,7,1725533017,0,722.24,165
109,0,-1,0,107,103,2,1740710362,0,150.98,34
110,0,-1,0,104,106,8,1708644517,0,222.9,48
111,0,-1,0,105,117,7,1713758870,0,291.0,142
112,0,-1,0,113,115,6,1686660838,0,460.05,167
