node_id,is_fraud,ring_id,ring_type,hotel_class,review_count,avg_rating,listing_age_days,cancellation_policy,country_code,is_ghost,photo_count,price_percentile
0,0,-1,0,1,600,3.1,360,1,840,0,66,89
1,0,-1,0,5,1875,4.1,279,0,36,0,86,89
2,0,-1,0,1,1307,4.8,3077,0,156,0,78,11
3,0,-1,0,1,1852,4.7,4907,1,840,0,145,11
4,0,-1,0,5,746,3.3,3448,2,826,0,40,82
5,0,-1,0,4,831,3.6,2816,0,156,0,124,90
6,0,-1,0,4,1243,3.7,288,1,250,0,182,84
7,0,-1,0,5,62,4.1,4074,2,36,0,136,34
8,0,-1,0,3,1413,3.6,2073,1,840,0,199,18
9,0,-1,0,5,90,4.0,2611,1,36,0,13,89
10,0,-1,0,4,1561,2.9,2045,0,392,0,180,44
11,0,-1,0,4,137,4.2,3736,1,276,0,62,42
12,0,-1,0,5,1621,3.4,2594,2,156,0,147,86
13,0,-1,0,5,1105,4.4,1667,1,840,0,138,21
14,0,-1,0,5,846,2.9,921,2,826,0,181,87
15,0,-1,0,1,773,3.9,4207,1,250,0,188,81
16,0,-1,0,4,1162,3.0,3574,0,250,0,104,73
17,0,-1,0,5,1114,3.6,2905,0,840,0,147,84
18,0,-1,0,1,667,4.3,3702,2,840,0,58,48
19,0,-1,0,1,699,3.5,1986,2,250,0,141,76
20,0,-1,0,5,460,3.9,4886,0,826,0,50,26
21,0,-1,0,4,419,4.4,3987,0,840,0,93,54
22,0,-1,0,4,856,4.9,4532,1,250,0,187,48
23,0,-1,0,1,1219,4.4,2309,1,276,0,90,61
24,0,-1,0,4,1033,4.9,1343,0,392,0,187,59
25,0,-1,0,3,710,3.9,2393,0,156,0,116,88
26,0,-1,0,2,1824,4.8,1972,2,250,0,137,55
27,0,-1,0,3,1059,2.8,4268,2,392,0,151,50
28,0,-1,0,2,1352,3.6,2091,1,840,0,16,16
29,0,-1,0,3,1030,3.3,2100,1,156,0,66,57
30,0,-1,0,2,649,4.5,1141,0,156,0,119,87
31,0,-1,0,1,104,4.0,2688,2,250,0,16,44
32,0,-1,0,4,1028,3.2,3351,1,250,0,80,37
33,0,-1,0,4,35,4.4,2230,2,276,0,59,29
34,0,-1,0,2,561,2.9,228,1,156,0,167,70
35,0,-1,0,4,924,3.2,2245,1,36,0,58,14
36,0,-1,0,3,810,4.6,4758,1,36,0,32,40
37,0,-1,0,2,1847,3.1,3040,2,250,0,172,45
38,0,-1,0,1,682,3.3,446,2,826,0,85,54
39,0,-1,0,4,22,3.0,2257,0,826,0,113,51
40,0,-1,0,4,926,4.5,3320,2,156,0,159,66
41,0,-1,0,3,27,4.2,2753,0,276,0,118,75
42,0,-1,0,3,1716,3.4,1055,2,250,0,171,84
43,0,-1,0,3,110,3.1,4554,1,840,0,65,38
44,0,-1,0,3,1139,3.5,3703,2,392,0,58,64
45,0,-1,0,2,966,2.8,3210,2,392,0,33,40
46,0,-1,0,2,1955,4.3,2259,0,156,0,27,73
47,0,-1,0,1,1361,4.2,4767,2,276,0,95,26
48,0,-1,0,3,1749,3.2,2680,2,840,0,155,26
49,0,-1,0,2,844,3.3,2574,0,276,0,172,88
50,0,-1,0,3,1392,4.6,3438,1,36,0,55,39
51,0,-1,0,4,61,3.2,2552,2,276,0,173,61
52,0,-1,0,1,1475,3.3,4453,2,840,0,82,17
53,0,-1,0,2,1935,4.5,1056,2,276,0,142,49
54,0,-1,0,1,461,4.2,2653,2,250,0,74,33
55,0,-1,0,5,1944,3.1,249,2,250,0,140,66
56,0,-1,0,4,516,4.0,2770,0,840,0,115,37
57,0,-1,0,4,741,3.8,4866,2,250,0,127,56
58,0,-1,0,5,648,3.3,2890,2,250,0,49,84
59,0,-1,0,4,891,4.5,818,1,156,0,40,88
60,0,-1,0,3,1378,3.0,2118,2,276,0,124,45
61,0,-1,0,2,524,4.3,1377,1,392,0,69,36
62,0,-1,0,5,1754,3.4,3606,0,826,0,123,64
63,0,-1,0,1,25,3.9,1455,2,276,0,96,27
64,0,-1,0,1,1412,3.9,3447,2,156,0,120,83
65,0,-1,0,3,100,4.5,1380,0,156,0,65,29
66,0,-1,0,4,1686,4.4,3787,1,36,0,17,66
67,0,-1,0,1,1796,4.4,2549,2,826,0,68,11
68,0,-1,0,5,384,4.0,3457,2,36,0,16,90
69,0,-1,0,1,1998,3.0,1380,1,826,0,191,20
70,0,-1,0,1,1303,4.4,287,2,826,0,190,20
71,0,-1,0,2,920,3.5,244,2,250,0,26,14
72,0,-1,0,4,732,3.4,1877,0,156,0,144,48
73,0,-1,0,4,175,4.7,2723,1,840,0,142,22
74,0,-1,0,5,779,4.2,2377,1,156,0,24,72
75,0,-1,0,5,1726,3.6,1594,2,250,0,161,86
76,0,-1,0,2,1332,4.8,1834,0,276,0,127,87
77,0,-1,0,5,56,3.6,2594,2,36,0,39,21
78,0,-1,0,4,833,4.6,4610,2,392,0,196,68
79,0,-1,0,5,1089,4.8,349,0,276,0,118,62
80,0,-1,0,4,800,4.5,4717,1,840,0,170,16
81,0,-1,0,1,584,3.7,1006,0,840,0,51,66
82,0,-1,0,4,606,4.0,3936,0,392,0,42,30
83,0,-1,0,4,121,3.3,1597,2,156,0,18,27
84,0,-1,0,1,1253,3.2,3671,1,840,0,140,27
85,0,-1,0,3,1024,3.3,3026,2,36,0,12,43
86,0,-1,0,5,588,4.7,4847,1,250,0,126,32
87,0,-1,0,5,87,4.6,386,2,250,0,81,39
88,0,-1,0,3,527,3.0,1667,2,250,0,36,33
89,0,-1,0,2,577,4.3,3486,1,156,0,37,75
90,0,-1,0,4,1030,4.6,4087,0,276,0,18,41
91,0,-1,0,4,432,3.9,835,2,840,0,57,73
92,0,-1,0,4,1801,4.6,2602,2,276,0,181,41
93,0,-1,0,3,1377,4.7,2051,1,36,0,85,88
94,0,-1,0,4,1541,3.2,4095,2,250,0,189,78
95,0,-1,0,4,964,4.0,4300,2,36,0,60,17
96,0,-1,0,2,1730,2.9,684,1,276,0,35,50
97,0,-1,0,3,414,4.8,1238,2,826,0,17,82
98,0,-1,0,5,570,2.9,4025,2,840,0,143,43
99,0,-1,0,3,452,4.6,4095,0,250,0,68,88
100,0,-1,0,3,1445,4.2,595,1,156,0,10,57
101,0,-1,0,2,1034,4.3,3843,0,276,0,119,60
102,0,-1,0,4,406,3.4,1456,2,840,0,88,45
103,0,-1,0,2,1575,3.6,2486,2,392,0,73,87
104,0,-1,0,5,1191,4.0,3485,1,156,0,117,74
