node_id,is_fraud,ring_id,ring_type,is_vpn,is_datacenter,country_code,shared_user_count,abuse_score
0,1,0,1,1,0,356,6,90
1,1,1,1,1,1,356,11,56
2,1,2,1,1,0,840,20,59
3,1,2,1,1,1,156,20,92
4,1,3,1,1,1,840,11,89
5,1,3,1,1,0,356,11,67
6,1,4,1,1,0,840,20,61
7,1,4,1,1,1,356,20,75
8,1,5,1,0,1,156,8,55
9,1,5,1,1,0,840,8,55
10,1,5,1,1,0,840,8,59
11,1,6,1,1,0,156,3,96
12,1,7,1,1,1,156,13,73
13,1,7,1,1,0,840,13,78
14,1,7,1,0,0,156,13,84
15,1,8,1,1,1,156,3,94
16,1,8,1,0,1,156,3,82
17,1,9,1,0,0,356,15,63
18,1,10,1,0,0,356,10,75
19,1,10,1,1,0,356,10,93
20,1,10,1,0,0,356,10,93
21,1,11,1,1,1,356,8,66
22,1,12,1,1,1,156,5,70
23,1,12,1,1,1,156,5,92
24,1,12,1,1,0,840,5,89
25,1,13,1,1,0,840,15,86
26,1,13,1,0,1,840,15,72
27,1,14,1,0,0,840,7,75
28,1,14,1,1,0,840,7,97
29,1,15,1,0,1,156,8,61
30,1,16,1,1,1,356,3,53
31,1,16,1,1,1,356,3,80
32,1,16,1,1,0,156,3,54
33,1,17,1,1,1,840,15,73
34,1,17,1,1,0,156,15,50
35,1,17,1,1,0,356,15,90
36,1,18,1,1,1,840,13,73
37,1,18,1,1,0,356,13,74
38,1,19,1,1,1,356,9,78
39,1,20,1,1,1,356,12,79
40,1,21,1,1,0,840,10,66
41,1,22,1,1,1,840,7,66
42,1,23,1,1,1,356,18,79
43,1,23,1,1,0,840,18,61
44,1,23,1,0,1,156,18,79
45,1,24,1,1,0,840,4,56
46,1,24,1,1,0,156,4,77
47,1,25,1,1,1,356,15,63
48,1,25,1,0,0,156,15,77
49,1,26,1,0,0,840,7,88
50,1,26,1,0,0,156,7,59
51,1,27,1,1,0,356,6,73
52,1,27,1,1,1,156,6,52
53,1,28,1,1,0,356,20,76
54,1,29,1,0,1,840,16,75
55,1,29,1,1,1,356,16,93
56,1,29,1,0,0,356,16,50
57,1,30,2,1,0,840,0,45
58,1,31,2,0,1,156,0,51
59,1,32,2,1,0,156,0,66
