node_id,is_fraud,ring_id,ring_type,point_balance,lifetime_points,redemption_count_30d,transfer_count_30d,account_age_days,status_tier,suspicious_velocity
0,1,55,3,120150,219674,19,12,3,0,1
1,1,55,3,473097,284230,14,3,5,0,1
2,1,55,3,4903,197721,11,8,1791,2,1
3,1,55,3,2724,302351,6,8,258,2,1
4,1,55,3,924,284997,5,8,760,2,1
5,1,55,3,1050,391000,11,7,1372,2,1
6,1,55,3,3748,359196,14,3,496,1,1
7,1,55,3,434,269096,13,5,295,1,1
8,1,55,3,2346,303482,7,3,957,2,1
9,1,55,3,850,120366,13,9,1147,3,1
10,1,55,3,3218,390513,12,8,1977,3,1
11,1,55,3,487,199994,9,8,871,3,1
12,1,55,3,1569,63375,11,7,1395,1,1
13,1,55,3,1791,216366,6,9,1191,2,1
14,1,55,3,1152,84052,6,9,1130,1,1
15,1,55,3,4220,81288,8,8,550,1,1
16,1,55,3,2294,77950,4,8,881,3,1
17,1,55,3,3939,102032,5,4,1868,2,1
18,1,55,3,1771,58753,7,2,1226,2,1
19,1,55,3,73,349353,12,9,1545,1,1
20,1,55,3,1629,166027,12,9,506,2,1
21,1,55,3,2796,282740,11,7,1060,2,1
22,1,55,3,3211,257105,11,9,374,3,1
23,1,56,3,277277,261584,19,12,14,0,1
24,1,56,3,305522,395537,18,14,13,0,1
25,1,56,3,215266,442186,9,4,9,0,1
26,1,56,3,192334,389357,16,4,2,0,1
27,1,56,3,124034,551247,8,9,16,0,1
28,1,56,3,175112,514296,5,9,12,0,1
29,1,56,3,40,267140,9,7,1911,3,1
30,1,56,3,4144,228642,6,5,283,2,1
31,1,56,3,4987,227625,4,2,841,1,1
32,1,56,3,3667,347049,8,7,228,2,1
33,1,56,3,6,299543,4,2,555,1,1
34,1,56,3,2940,355017,5,4,809,2,1
35,1,56,3,1930,386119,4,9,642,1,1
36,1,56,3,1512,346034,14,9,1978,1,1
37,1,56,3,4247,101099,13,3,542,3,1
38,1,56,3,3482,196828,10,5,1232,2,1
39,1,56,3,340,308689,9,5,1460,2,1
40,1,56,3,4707,234745,13,7,357,3,1
41,1,56,3,1743,81787,7,8,719,2,1
42,1,56,3,564,94675,5,5,207,1,1
43,1,57,3,101133,153355,9,5,24,0,1
44,1,57,3,470094,98591,8,6,29,0,1
45,1,57,3,329523,574716,8,3,14,0,1
46,1,57,3,1785,351018,11,2,751,3,1
47,1,57,3,1229,232366,6,7,1822,2,1
48,1,57,3,4327,336062,6,8,1045,2,1
49,1,57,3,3984,345624,6,9,1171,2,1
50,1,57,3,1197,262244,7,5,844,3,1
51,1,57,3,825,127121,13,3,1352,2,1
52,1,57,3,2435,104484,8,4,558,2,1
53,1,57,3,1434,243327,5,9,1823,3,1
54,1,57,3,366,370294,14,3,923,3,1
55,1,57,3,4305,158777,6,2,1801,2,1
56,1,57,3,1552,104861,8,7,1050,2,1
57,1,57,3,843,394644,5,2,886,1,1
58,1,57,3,3436,112875,3,9,521,1,1
59,1,57,3,1568,76158,4,3,1583,1,1
60,1,57,3,1844,328863,10,4,1929,3,1
61,1,57,3,2742,326254,9,7,333,1,1
62,1,57,3,4982,279699,12,9,1488,3,1
63,1,57,3,3102,396108,9,8,266,3,1
64,1,57,3,1679,219817,11,9,1183,3,1
65,1,57,3,1789,53607,8,5,1418,1,1
66,1,57,3,1802,257423,11,9,1798,1,1
67,1,57,3,3001,388600,12,3,553,2,1
68,1,57,3,788,385983,13,6,287,3,1
69,1,57,3,20,185833,7,8,1804,3,1
70,1,57,3,3178,389570,12,3,1760,2,1
71,1,58,3,393412,128676,12,12,19,0,1
72,1,58,3,54219,53406,13,14,2,0,1
73,1,58,3,124558,153757,9,13,28,0,1
74,1,58,3,187928,453091,5,9,19,0,1
75,1,58,3,1322,391314,8,8,1608,2,1
76,1,58,3,1855,152056,7,7,813,1,1
77,1,58,3,2069,344680,13,9,1351,3,1
78,1,58,3,4805,286796,8,9,389,2,1
79,1,58,3,678,128294,11,5,514,1,1
80,1,58,3,1127,323367,12,3,865,2,1
81,1,58,3,4903,329598,7,2,1314,1,1
82,1,58,3,3075,306947,6,6,401,3,1
83,1,58,3,1551,314217,8,5,879,2,1
84,1,58,3,340,118818,11,5,1450,2,1
85,1,58,3,2550,102929,13,4,563,3,1
86,1,58,3,3146,294795,12,3,1032,2,1
87,1,58,3,1945,137937,12,2,718,1,1
88,1,58,3,883,135539,5,2,1775,1,1
89,1,58,3,3104,127757,6,6,245,3,1
90,1,58,3,2725,139824,7,5,1422,2,1
91,1,58,3,4567,93277,12,8,798,1,1
92,1,58,3,3657,382849,4,5,1249,1,1
93,1,58,3,1244,79003,7,5,1885,1,1
94,1,58,3,4595,89819,14,7,756,1,1
95,1,58,3,2407,277523,7,9,902,1,1
96,1,58,3,1833,197664,14,3,960,2,1
97,1,58,3,1073,243533,4,2,550,2,1
98,1,58,3,4634,136713,13,6,1328,2,1
99,1,58,3,3937,298944,14,2,1198,1,1
100,1,58,3,3757,149555,3,8,1881,3,1
101,1,58,3,317,138335,12,3,1372,2,1
102,1,58,3,1168,271522,5,9,1431,1,1
103,1,59,3,179555,504594,11,5,22,0,1
104,1,59,3,270803,540749,18,12,29,0,1
105,1,59,3,290936,350988,5,5,5,0,1
106,1,59,3,464645,189481,14,7,23,0,1
107,1,59,3,212985,565795,12,5,12,0,1
108,1,59,3,214260,449336,9,3,23,0,1
109,1,59,3,4818,367283,3,8,1978,1,1
110,1,59,3,2670,317000,7,6,833,3,1
111,1,59,3,3046,146390,5,8,1348,3,1
112,1,59,3,2498,393546,11,9,1359,3,1
113,1,59,3,2962,399973,11,2,1808,3,1
114,1,59,3,3121,129391,10,9,1574,2,1
115,1,59,3,1005,239123,12,3,207,1,1
116,1,59,3,1115,223520,5,4,1480,3,1
117,1,59,3,3457,234071,9,8,1585,3,1
