node_id,is_fraud,ring_id,ring_type,rating,verified_booking,review_length_chars,sentiment_score,days_after_checkin,is_incentivised
0,1,30,2,5,0,76,0.706,1,1
1,1,30,2,5,0,44,0.837,1,1
2,1,30,2,5,0,60,0.715,0,1
3,1,30,2,5,0,125,0.776,0,1
4,1,30,2,5,0,83,0.977,0,1
5,1,30,2,5,1,125,0.807,0,1
6,1,30,2,5,0,103,0.928,1,1
7,1,30,2,5,1,57,0.942,0,1
8,1,30,2,5,1,188,0.704,0,1
9,1,30,2,5,0,136,0.859,2,1
10,1,30,2,5,0,71,0.994,1,1
11,1,30,2,5,0,126,0.938,2,1
12,1,30,2,5,1,68,0.864,0,1
13,1,30,2,5,0,124,0.749,1,1
14,1,30,2,5,0,185,0.984,0,1
15,1,30,2,5,1,42,0.889,1,1
16,1,30,2,5,0,76,0.754,2,1
17,1,30,2,5,1,108,0.801,1,1
18,1,30,2,5,1,167,0.708,0,1
19,1,30,2,5,1,77,0.82,1,1
20,1,30,2,5,0,119,0.723,2,1
21,1,30,2,5,0,44,0.723,2,1
22,1,30,2,5,1,49,0.901,1,1
23,1,30,2,5,0,43,0.814,2,1
24,1,30,2,5,0,87,0.802,1,1
25,1,30,2,5,0,96,0.902,0,1
26,1,30,2,5,0,153,0.982,2,1
27,1,30,2,5,0,181,0.89,1,1
28,1,30,2,5,1,74,0.853,0,1
29,1,30,2,5,1,50,0.938,1,1
30,1,30,2,5,0,56,0.892,2,1
31,1,30,2,5,1,58,0.792,1,1
32,1,30,2,5,0,141,0.934,1,1
33,1,31,2,5,1,49,0.948,1,1
34,1,31,2,5,0,194,0.801,0,1
35,1,31,2,5,0,182,0.735,0,1
36,1,31,2,5,1,166,0.99,2,1
37,1,31,2,5,0,190,0.905,1,1
38,1,31,2,5,0,189,0.937,0,1
39,1,31,2,5,0,177,0.887,0,1
40,1,31,2,5,0,160,0.93,0,1
41,1,31,2,5,1,97,1.0,1,1
42,1,31,2,5,0,180,0.903,1,1
43,1,31,2,5,0,91,0.862,0,1
44,1,31,2,5,0,126,0.806,0,1
45,1,31,2,5,1,73,0.721,2,1
46,1,31,2,5,0,61,0.956,0,1
47,1,31,2,5,0,80,0.961,2,1
48,1,31,2,5,0,64,0.966,1,1
49,1,31,2,5,0,179,0.902,2,1
50,1,31,2,5,0,94,0.884,2,1
51,1,31,2,5,0,120,0.784,2,1
52,1,31,2,5,0,97,0.879,0,1
53,1,31,2,5,0,97,0.74,0,1
54,1,32,2,5,0,65,0.752,2,1
55,1,32,2,5,0,159,0.761,0,1
56,1,32,2,5,1,160,0.942,1,1
57,1,32,2,5,0,119,0.776,2,1
58,1,32,2,5,1,136,0.919,2,1
59,1,33,2,5,0,103,0.922,0,1
60,1,33,2,5,0,187,0.783,1,1
61,1,33,2,5,0,77,0.817,0,1
62,1,33,2,5,0,134,0.896,1,1
63,1,33,2,5,0,82,0.913,0,1
64,1,33,2,5,0,67,0.988,1,1
65,1,33,2,5,1,54,0.733,2,1
66,1,33,2,5,0,80,0.818,0,1
67,1,33,2,5,1,132,0.702,1,1
68,1,33,2,5,0,83,0.845,0,1
69,1,33,2,5,0,101,0.87,1,1
70,1,33,2,5,0,186,0.951,0,1
71,1,33,2,5,1,92,0.869,0,1
72,1,33,2,5,0,97,0.859,2,1
73,1,33,2,5,0,55,0.807,1,1
74,1,33,2,5,0,190,0.994,2,1
75,1,33,2,5,1,146,0.776,1,1
76,1,33,2,5,0,42,0.812,0,1
77,1,33,2,5,0,64,0.702,0,1
78,1,33,2,5,0,127,0.803,0,1
79,1,33,2,5,0,99,0.881,2,1
80,1,33,2,5,0,122,0.732,0,1
81,1,33,2,5,0,114,0.765,2,1
82,1,33,2,5,0,44,0.905,0,1
83,1,33,2,5,0,187,0.98,0,1
84,1,33,2,5,1,181,0.845,0,1
85,1,33,2,5,0,155,0.855,2,1
86,1,33,2,5,1,191,0.919,1,1
87,1,34,2,5,1,156,0.802,1,1
88,1,34,2,5,0,156,0.939,0,1
89,1,34,2,5,1,166,0.954,1,1
90,1,34,2,5,0,111,0.964,1,1
91,1,34,2,5,1,46,0.942,2,1
92,1,34,2,5,0,137,0.976,2,1
93,1,34,2,5,0,42,0.748,2,1
94,1,34,2,5,1,118,0.881,0,1
95,1,34,2,5,0,85,0.892,2,1
96,1,34,2,5,0,135,0.761,0,1
97,1,34,2,5,0,142,0.943,2,1
98,1,34,2,5,1,60,0.863,0,1
99,1,34,2,5,1,63,0.767,1,1
100,1,34,2,5,0,153,0.95,0,1
101,1,35,2,5,0,123,0.886,0,1
102,1,35,2,5,1,198,0.809,2,1
103,1,35,2,5,0,116,0.81,2,1
104,1,35,2,5,0,148,0.763,2,1
105,1,35,2,5,0,50,0.862,2,1
106,1,35,2,5,0,111,0.704,2,1
107,1,35,2,5,0,43,0.959,0,1
108,1,35,2,5,0,68,0.771,2,1
109,1,35,2,5,0,164,0.892,1,1
110,1,35,2,5,1,67,0.747,1,1
111,1,35,2,5,1,78,0.807,1,1
112,1,35,2,5,0,148,0.804,1,1
113,1,35,2,5,1,50,0.991,1,1
114,1,35,2,5,0,126,0.776,2,1
115,1,35,2,5,1,123,0.932,0,1
116,1,35,2,5,0,133,0.735,0,1
117,1,35,2,5,1,154,0.874,0,1
118,1,35,2,5,0,176,0.794,1,1
119,1,35,2,5,0,198,0.712,0,1
120,1,35,2,5,0,115,0.817,1,1
121,1,35,2,5,0,67,0.746,0,1
122,1,35,2,5,0,60,0.858,1,1
123,1,35,2,5,0,84,0.948,0,1
124,1,35,2,5,0,49,0.948,2,1
125,1,35,2,5,0,94,0.968,0,1
126,1,35,2,5,1,106,0.721,2,1
127,1,35,2,5,1,45,0.741,2,1
128,1,35,2,5,1,41,0.89,2,1
129,1,35,2,5,0,133,0.813,1,1
130,1,35,2,5,0,87,0.936,0,1
131,1,35,2,5,0,145,0.972,1,1
132,1,35,2,5,1,44,0.847,0,1
133,1,35,2,5,0,111,0.861,1,1
134,1,35,2,5,0,179,0.911,1,1
135,1,35,2,5,0,143,0.793,2,1
136,1,35,2,5,0,41,0.713,1,1
137,1,35,2,5,0,185,0.743,1,1
138,1,35,2,5,0,164,0.782,0,1
139,1,35,2,5,0,137,0.886,1,1
140,1,35,2,5,0,102,0.705,2,1
141,1,35,2,5,0,190,0.809,2,1
142,1,35,2,5,0,156,0.885,1,1
143,1,35,2,5,0,46,0.933,1,1
144,1,35,2,5,1,187,0.862,0,1
145,1,35,2,5,1,95,0.73,2,1
146,1,35,2,5,0,148,0.774,2,1
147,1,35,2,5,1,59,0.833,1,1
148,1,35,2,5,0,56,0.722,1,1
149,1,35,2,5,1,50,0.806,0,1
150,1,35,2,5,0,159,0.799,1,1
151,1,35,2,5,1,77,0.782,2,1
152,1,35,2,5,0,97,0.887,2,1
153,1,35,2,5,0,136,0.747,2,1
154,1,35,2,5,0,47,0.765,0,1
155,1,35,2,5,1,191,0.796,2,1
156,1,35,2,5,0,184,0.918,0,1
157,1,35,2,5,0,170,0.839,2,1
158,1,36,2,5,0,191,0.788,1,1
159,1,36,2,5,1,135,0.825,0,1
160,1,36,2,5,0,85,0.929,1,1
161,1,36,2,5,0,113,0.922,2,1
162,1,36,2,5,1,159,0.88,2,1
163,1,36,2,5,0,80,0.747,0,1
164,1,36,2,5,0,121,0.704,2,1
165,1,36,2,5,0,52,0.75,0,1
166,1,36,2,5,0,105,0.998,2,1
167,1,36,2,5,1,115,0.875,2,1
168,1,36,2,5,0,189,0.994,0,1
169,1,36,2,5,0,196,0.85,0,1
170,1,36,2,5,1,80,0.779,2,1
171,1,36,2,5,0,41,0.958,1,1
172,1,36,2,5,0,139,0.72,0,1
173,1,36,2,5,0,100,0.924,2,1
174,1,36,2,5,0,163,0.71,1,1
175,1,36,2,5,0,41,0.911,1,1
176,1,36,2,5,1,88,0.911,0,1
177,1,36,2,5,0,195,0.902,1,1
178,1,36,2,5,1,150,0.758,0,1
179,1,36,2,5,0,164,0.898,1,1
180,1,36,2,5,1,133,0.799,2,1
181,1,36,2,5,0,194,0.824,1,1
182,1,36,2,5,0,128,0.874,1,1
183,1,36,2,5,0,130,0.896,1,1
184,1,36,2,5,0,98,0.775,0,1
185,1,36,2,5,0,153,0.749,0,1
186,1,36,2,5,0,169,0.93,2,1
187,1,36,2,5,0,125,0.98,1,1
188,1,36,2,5,0,51,0.784,2,1
189,1,36,2,5,0,118,0.988,0,1
190,1,36,2,5,0,88,0.987,1,1
191,1,36,2,5,1,185,0.799,0,1
192,1,36,2,5,1,61,0.839,2,1
193,1,36,2,5,0,172,0.984,2,1
194,1,36,2,5,0,50,0.954,1,1
195,1,36,2,5,1,116,0.858,0,1
196,1,36,2,5,0,146,0.725,1,1
197,1,36,2,5,1,109,0.837,2,1
198,1,36,2,5,0,197,0.867,2,1
199,1,36,2,5,1,156,0.941,0,1
200,1,36,2,5,1,92,0.772,1,1
201,1,36,2,5,0,172,0.782,0,1
202,1,36,2,5,0,105,0.754,0,1
203,1,36,2,5,1,128,0.744,0,1
204,1,36,2,5,0,129,0.813,0,1
205,1,36,2,5,0,45,0.763,0,1
206,1,36,2,5,0,135,0.99,0,1
207,1,36,2,5,1,63,0.945,0,1
208,1,36,2,5,0,40,0.7,0,1
209,1,36,2,5,0,101,0.788,0,1
210,1,36,2,5,0,50,0.879,0,1
211,1,36,2,5,0,81,0.8,1,1
212,1,36,2,5,0,101,0.739,0,1
213,1,36,2,5,1,167,0.809,1,1
214,1,36,2,5,1,122,0.92,1,1
215,1,36,2,5,0,134,0.801,1,1
216,1,36,2,5,1,111,0.878,2,1
217,1,36,2,5,0,69,0.812,1,1
218,1,36,2,5,1,67,0.713,2,1
219,1,36,2,5,0,127,0.826,0,1
220,1,36,2,5,0,165,0.7,2,1
221,1,37,2,5,0,140,0.876,1,1
222,1,37,2,5,0,43,0.732,0,1
223,1,37,2,5,0,168,0.735,0,1
224,1,37,2,5,0,194,0.823,1,1
225,1,37,2,5,1,78,0.893,1,1
226,1,37,2,5,0,134,0.87,0,1
227,1,37,2,5,0,112,0.868,1,1
228,1,37,2,5,1,58,0.743,1,1
229,1,37,2,5,0,107,0.935,2,1
230,1,37,2,5,0,170,0.925,1,1
231,1,37,2,5,0,139,0.743,2,1
232,1,37,2,5,0,165,0.932,0,1
233,1,37,2,5,0,186,0.741,0,1
234,1,37,2,5,0,85,0.8,2,1
235,1,38,2,5,0,105,0.864,0,1
236,1,38,2,5,0,78,0.803,0,1
237,1,38,2,5,0,48,0.953,1,1
238,1,38,2,5,1,185,0.934,1,1
239,1,38,2,5,1,56,0.718,0,1
240,1,38,2,5,0,42,0.747,1,1
241,1,38,2,5,0,155,0.817,0,1
242,1,38,2,5,0,101,0.732,1,1
243,1,38,2,5,1,74,0.752,0,1
244,1,38,2,5,0,169,0.785,1,1
245,1,38,2,5,0,101,0.731,0,1
246,1,38,2,5,0,130,0.979,1,1
247,1,38,2,5,0,162,0.97,1,1
248,1,38,2,5,0,105,0.966,0,1
249,1,38,2,5,1,179,0.747,1,1
250,1,38,2,5,1,122,0.986,0,1
251,1,38,2,5,0,56,0.766,2,1
252,1,38,2,5,1,120,0.963,1,1
253,1,38,2,5,1,92,0.814,1,1
254,1,38,2,5,1,129,0.891,1,1
255,1,38,2,5,0,48,0.941,2,1
256,1,38,2,5,0,148,0.726,1,1
257,1,38,2,5,0,108,0.824,0,1
258,1,38,2,5,0,87,0.803,1,1
259,1,38,2,5,0,133,0.776,1,1
260,1,38,2,5,1,175,0.782,1,1
261,1,38,2,5,0,57,0.891,0,1
262,1,38,2,5,1,132,0.921,1,1
263,1,38,2,5,0,61,0.859,1,1
264,1,38,2,5,0,133,0.956,0,1
265,1,38,2,5,0,45,0.893,1,1
266,1,38,2,5,0,115,0.811,1,1
267,1,38,2,5,0,104,0.829,1,1
268,1,39,2,5,0,87,0.86,1,1
269,1,39,2,5,0,41,0.992,2,1
270,1,39,2,5,0,72,0.79,0,1
271,1,39,2,5,0,174,0.816,2,1
272,1,39,2,5,0,52,0.787,2,1
273,1,39,2,5,0,169,0.819,1,1
274,1,39,2,5,1,120,0.976,1,1
275,1,39,2,5,0,119,0.742,2,1
276,1,39,2,5,1,57,0.722,2,1
277,1,39,2,5,0,76,0.916,2,1
278,1,39,2,5,0,158,0.979,2,1
279,1,39,2,5,0,86,0.954,0,1
280,1,39,2,5,0,67,0.714,1,1
281,1,39,2,5,0,45,0.714,2,1
282,1,39,2,5,1,111,0.843,2,1
283,1,39,2,5,0,143,0.923,2,1
284,1,39,2,5,0,117,0.793,0,1
285,1,39,2,5,0,90,0.99,1,1
286,1,39,2,5,0,170,0.904,1,1
287,1,40,2,5,0,62,0.909,2,1
288,1,40,2,5,1,192,0.748,1,1
289,1,40,2,5,0,50,0.749,2,1
290,1,40,2,5,0,188,0.833,2,1
291,1,40,2,5,0,55,0.771,2,1
292,1,40,2,5,0,134,0.924,2,1
293,1,40,2,5,0,54,0.745,2,1
294,1,40,2,5,0,199,0.709,0,1
295,1,40,2,5,1,156,0.802,2,1
296,1,40,2,5,1,163,0.835,0,1
297,1,40,2,5,0,75,0.949,0,1
298,1,40,2,5,0,46,0.957,1,1
299,1,40,2,5,0,134,0.864,1,1
300,1,40,2,5,0,83,0.748,0,1
301,1,40,2,5,0,78,0.816,2,1
302,1,40,2,5,0,73,0.954,1,1
303,1,40,2,5,0,192,0.87,0,1
304,1,40,2,5,0,93,0.915,1,1
305,1,40,2,5,0,122,0.733,1,1
306,1,40,2,5,0,170,0.763,0,1
307,1,40,2,5,1,163,0.878,2,1
308,1,40,2,5,1,59,0.912,2,1
309,1,40,2,5,1,135,0.964,0,1
310,1,40,2,5,1,191,0.905,0,1
311,1,40,2,5,0,191,0.808,1,1
312,1,40,2,5,0,64,0.992,0,1
313,1,40,2,5,1,124,0.982,0,1
314,1,40,2,5,0,199,0.754,0,1
315,1,40,2,5,0,94,0.786,1,1
316,1,40,2,5,0,184,0.848,0,1
317,1,40,2,5,0,139,0.743,0,1
318,1,40,2,5,0,96,0.936,2,1
319,1,40,2,5,0,165,0.947,0,1
320,1,40,2,5,0,57,0.726,0,1
321,1,40,2,5,0,91,0.913,1,1
322,1,40,2,5,0,67,0.975,0,1
323,1,40,2,5,1,73,0.972,2,1
324,1,40,2,5,0,76,0.779,0,1
325,1,40,2,5,1,167,0.845,1,1
326,1,40,2,5,0,131,0.926,0,1
327,1,40,2,5,1,195,0.828,2,1
328,1,40,2,5,1,56,0.747,0,1
329,1,40,2,5,0,88,0.764,0,1
330,1,40,2,5,0,55,0.702,1,1
331,1,40,2,5,0,173,0.774,2,1
332,1,40,2,5,0,169,0.84,2,1
333,1,40,2,5,0,61,0.976,0,1
334,1,40,2,5,1,69,0.848,2,1
335,1,40,2,5,0,97,0.917,1,1
336,1,40,2,5,0,100,0.77,1,1
337,1,40,2,5,1,143,0.949,1,1
338,1,40,2,5,0,43,0.771,0,1
339,1,40,2,5,1,119,0.904,0,1
340,1,40,2,5,0,121,0.996,1,1
341,1,40,2,5,0,53,0.766,1,1
342,1,40,2,5,0,100,0.933,0,1
343,1,40,2,5,0,173,0.751,0,1
344,1,40,2,5,1,101,0.922,0,1
345,1,40,2,5,0,52,0.795,2,1
346,1,40,2,5,0,134,0.981,0,1
347,1,40,2,5,1,159,0.719,1,1
348,1,40,2,5,1,170,0.947,0,1
349,1,40,2,5,0,82,0.779,1,1
350,1,40,2,5,0,70,0.794,1,1
351,1,40,2,5,0,184,0.727,1,1
352,1,40,2,5,0,42,0.702,0,1
353,1,40,2,5,0,134,0.928,0,1
354,1,40,2,5,0,41,0.703,0,1
355,1,40,2,5,0,57,0.837,1,1
356,1,41,2,5,1,84,0.744,1,1
357,1,41,2,5,0,177,0.716,0,1
358,1,41,2,5,0,142,0.984,0,1
359,1,41,2,5,1,105,0.797,0,1
360,1,41,2,5,0,125,0.81,1,1
361,1,41,2,5,0,58,0.853,2,1
362,1,41,2,5,0,52,0.936,1,1
363,1,41,2,5,1,132,0.763,2,1
364,1,41,2,5,0,121,0.759,2,1
365,1,41,2,5,0,159,0.885,0,1
366,1,41,2,5,0,70,0.734,1,1
367,1,41,2,5,1,95,0.91,1,1
368,1,41,2,5,0,198,0.93,1,1
369,1,41,2,5,0,91,0.903,0,1
370,1,41,2,5,0,55,0.762,0,1
371,1,41,2,5,1,137,0.966,2,1
372,1,41,2,5,1,171,0.85,1,1
373,1,41,2,5,0,123,0.767,0,1
374,1,41,2,5,0,56,0.926,1,1
375,1,41,2,5,0,184,0.943,2,1
376,1,41,2,5,0,98,0.882,2,1
377,1,41,2,5,1,105,0.837,0,1
378,1,41,2,5,1,137,0.787,1,1
379,1,41,2,5,0,64,0.774,0,1
380,1,41,2,5,0,46,0.929,0,1
381,1,41,2,5,1,178,0.969,0,1
382,1,41,2,5,0,126,0.735,0,1
383,1,41,2,5,0,142,0.995,1,1
384,1,41,2,5,1,134,0.799,1,1
385,1,41,2,5,0,107,0.77,0,1
386,1,41,2,5,0,73,0.894,0,1
387,1,41,2,5,0,42,0.739,0,1
388,1,41,2,5,0,67,0.862,1,1
389,1,41,2,5,0,93,0.759,2,1
390,1,42,2,5,0,99,0.81,0,1
391,1,42,2,5,1,77,0.911,1,1
392,1,42,2,5,0,107,0.884,0,1
393,1,42,2,5,1,55,0.876,0,1
394,1,42,2,5,0,127,0.818,0,1
395,1,42,2,5,0,84,0.721,2,1
396,1,42,2,5,1,158,0.945,2,1
397,1,42,2,5,1,173,0.995,1,1
398,1,42,2,5,0,156,0.7,0,1
399,1,42,2,5,0,87,0.901,0,1
400,1,42,2,5,0,188,0.778,0,1
401,1,42,2,5,0,136,0.794,0,1
402,1,42,2,5,0,56,0.714,0,1
403,1,42,2,5,1,63,0.707,0,1
404,1,42,2,5,0,84,0.923,1,1
405,1,42,2,5,0,56,0.783,2,1
406,1,42,2,5,0,46,0.871,1,1
407,1,42,2,5,0,167,0.953,0,1
408,1,42,2,5,1,96,0.975,1,1
409,1,42,2,5,0,108,0.956,1,1
410,1,42,2,5,1,149,0.794,2,1
411,1,42,2,5,0,180,0.779,0,1
412,1,42,2,5,0,91,0.714,1,1
413,1,42,2,5,1,150,0.873,2,1
414,1,43,2,5,0,104,0.711,1,1
415,1,43,2,5,0,136,0.882,1,1
416,1,43,2,5,1,44,0.836,1,1
417,1,43,2,5,0,145,0.819,1,1
418,1,43,2,5,0,162,0.788,1,1
419,1,43,2,5,0,81,0.932,2,1
420,1,43,2,5,0,182,0.933,0,1
421,1,43,2,5,0,196,0.997,2,1
422,1,43,2,5,0,86,0.913,2,1
423,1,43,2,5,0,122,0.717,1,1
424,1,43,2,5,1,193,0.848,0,1
425,1,43,2,5,0,192,0.876,2,1
426,1,43,2,5,0,142,0.767,1,1
427,1,43,2,5,0,88,0.955,2,1
428,1,43,2,5,0,156,0.839,2,1
429,1,43,2,5,1,102,0.767,1,1
430,1,43,2,5,0,193,0.929,1,1
431,1,43,2,5,0,158,0.727,1,1
432,1,43,2,5,0,117,0.709,0,1
433,1,43,2,5,0,163,0.993,2,1
