node_id,is_fraud,ring_id,ring_type,account_age_days,booking_count_30d,cancellation_rate,chargeback_count,distinct_device_count,distinct_ip_count,country_code,is_loyalty_member,avg_booking_value_usd,referral_count,velocity_score
0,1,0,1,23,18,0.77,17,3,1,642,0,1128.74,0,35.99
1,1,0,1,23,10,0.759,4,3,1,156,0,751.51,0,22.72
2,1,0,1,27,6,0.776,3,3,1,642,0,965.87,0,19.8
3,1,0,1,15,12,0.68,7,3,1,642,0,345.45,0,23.03
4,1,0,1,4,11,0.945,16,3,1,156,0,1165.24,0,47.6
5,1,0,1,25,5,0.698,3,3,1,356,0,756.91,0,22.62
6,1,1,1,3,34,0.626,5,1,1,804,0,570.69,0,35.9
7,1,1,1,16,6,0.733,12,1,1,642,0,426.19,0,39.72
8,1,1,1,17,10,0.805,4,1,1,840,0,439.68,0,17.65
9,1,1,1,41,11,0.631,5,1,1,156,0,1051.31,0,20.56
10,1,1,1,30,9,0.861,10,1,1,642,0,1086.33,0,40.7
11,1,1,1,23,12,0.982,19,1,1,804,0,509.87,0,40.78
12,1,1,1,3,6,0.891,3,1,1,840,0,517.66,0,32.46
13,1,1,1,14,6,0.888,19,1,1,804,0,1063.98,0,34.04
14,1,1,1,19,12,0.695,8,1,1,804,0,903.65,0,29.59
15,1,1,1,32,8,0.965,7,1,1,804,0,955.07,0,17.68
16,1,1,1,10,10,0.685,12,1,1,156,0,601.16,0,37.93
17,1,2,1,37,21,0.925,19,1,2,156,0,1003.29,0,22.22
18,1,2,1,27,8,0.785,4,1,2,642,0,852.68,0,16.9
19,1,2,1,14,10,0.904,3,1,2,804,0,403.0,0,36.76
20,1,2,1,22,7,0.764,15,1,2,804,0,966.08,0,38.6
21,1,2,1,38,6,0.854,13,1,2,356,0,707.63,0,31.88
22,1,2,1,10,5,0.605,16,1,2,156,0,438.06,0,35.96
23,1,2,1,20,10,0.897,19,1,2,642,0,958.88,0,41.3
24,1,2,1,10,11,0.976,3,1,2,156,0,393.47,0,23.41
25,1,2,1,30,13,0.658,9,1,2,156,0,353.69,0,29.17
26,1,2,1,26,14,0.628,14,1,2,804,0,1130.55,0,16.86
27,1,2,1,39,6,0.729,3,1,2,642,0,1097.54,0,41.84
28,1,2,1,18,8,0.844,13,1,2,804,0,928.11,0,18.62
29,1,2,1,18,14,0.623,4,1,2,356,0,995.05,0,21.9
30,1,2,1,5,4,0.998,10,1,2,642,0,851.28,0,33.15
31,1,2,1,4,10,0.753,9,1,2,156,0,431.27,0,20.11
32,1,2,1,14,4,0.961,18,1,2,156,0,521.38,0,48.94
33,1,2,1,20,8,0.977,14,1,2,642,0,778.25,0,37.98
34,1,2,1,1,8,0.745,4,1,2,804,0,462.56,0,35.57
35,1,2,1,18,10,0.771,6,1,2,356,0,514.43,0,47.26
36,1,2,1,24,11,0.683,11,1,2,804,0,832.55,0,38.92
37,1,3,1,38,28,0.911,8,3,2,156,0,404.73,0,23.65
38,1,3,1,35,6,0.839,3,3,2,156,0,888.14,0,34.9
39,1,3,1,23,9,0.899,19,3,2,356,0,594.65,0,18.63
40,1,3,1,11,14,0.817,7,3,2,156,0,897.76,0,26.3
41,1,3,1,27,5,0.9,9,3,2,642,0,596.36,0,17.09
42,1,3,1,7,13,0.918,4,3,2,356,0,729.18,0,24.64
43,1,3,1,29,5,0.641,15,3,2,156,0,540.94,0,31.53
44,1,3,1,9,14,0.805,7,3,2,840,0,922.55,0,41.3
45,1,3,1,36,11,0.668,18,3,2,840,0,822.86,0,44.53
46,1,3,1,36,10,0.888,10,3,2,804,0,415.42,0,18.76
47,1,3,1,1,14,0.677,7,3,2,642,0,1086.93,0,16.72
48,1,4,1,21,13,0.771,12,4,2,356,0,337.81,0,36.62
49,1,4,1,11,6,0.973,7,4,2,642,0,334.24,0,17.71
50,1,4,1,2,7,0.89,7,4,2,356,0,1158.86,0,20.17
51,1,4,1,12,8,0.806,6,4,2,156,0,1059.21,0,28.61
52,1,4,1,8,9,0.922,5,4,2,356,0,370.33,0,41.23
53,1,4,1,24,11,0.754,3,4,2,642,0,1007.99,0,31.89
54,1,4,1,14,5,0.658,17,4,2,840,0,553.35,0,23.52
55,1,4,1,34,7,0.794,13,4,2,840,0,620.86,0,19.58
56,1,4,1,42,13,0.679,17,4,2,642,0,874.36,0,34.69
57,1,4,1,3,14,0.94,5,4,2,840,0,416.21,0,19.15
58,1,4,1,24,9,0.704,16,4,2,356,0,678.27,0,28.71
59,1,4,1,6,8,0.652,8,4,2,156,0,1192.61,0,20.5
60,1,4,1,2,7,0.999,3,4,2,156,0,1175.79,0,37.86
61,1,4,1,43,13,0.956,6,4,2,642,0,485.19,0,48.02
62,1,4,1,6,12,0.823,16,4,2,156,0,376.09,0,29.67
63,1,4,1,40,11,0.682,19,4,2,642,0,1013.76,0,45.25
64,1,4,1,18,9,0.844,18,4,2,156,0,502.76,0,31.32
65,1,4,1,29,7,0.72,6,4,2,840,0,657.45,0,23.53
66,1,4,1,4,6,0.683,5,4,2,642,0,432.5,0,23.59
67,1,4,1,18,5,0.709,16,4,2,156,0,631.65,0,27.91
68,1,5,1,37,34,0.994,9,4,3,804,0,552.49,0,27.99
69,1,5,1,23,11,0.986,10,4,3,356,0,1005.35,0,38.03
70,1,5,1,27,11,0.988,3,4,3,804,0,568.92,0,47.2
71,1,5,1,14,6,0.656,17,4,3,840,0,965.14,0,29.22
72,1,5,1,42,5,0.822,13,4,3,804,0,671.09,0,42.37
73,1,5,1,27,13,0.992,11,4,3,156,0,883.78,0,20.33
74,1,5,1,35,11,0.962,3,4,3,642,0,679.21,0,30.2
75,1,5,1,29,7,0.849,3,4,3,642,0,639.56,0,26.78
76,1,6,1,35,24,0.801,19,1,1,356,0,536.27,0,43.22
77,1,6,1,38,4,0.638,16,1,1,642,0,607.93,0,38.05
78,1,6,1,37,6,0.795,11,1,1,642,0,625.54,0,21.5
79,1,7,1,40,25,0.955,13,1,3,356,0,453.64,0,41.4
80,1,7,1,29,8,0.876,8,1,3,356,0,757.98,0,16.89
